State,Measure ID,Score,Start Date,End Date
NC,HAI_1_SIR,1.150,10/01/2021,09/30/2022
NC,HAI_2_SIR,0.835,10/01/2021,09/30/2022
NC,HAI_3_SIR,0.975,10/01/2021,09/30/2022
NC,HAI_4_SIR,0.898,10/01/2021,09/30/2022
NC,HAI_5_SIR,0.980,10/01/2021,09/30/2022
NC,HAI_6_SIR,0.397,10/01/2021,09/30/2022
ND,HAI_1_SIR,0.640,10/01/2021,09/30/2022
ND,HAI_2_SIR,0.443,10/01/2021,09/30/2022
ND,HAI_3_SIR,1.065,10/01/2021,09/30/2022
ND,HAI_4_SIR,1.267,10/01/2021,09/30/2022
ND,HAI_5_SIR,0.506,10/01/2021,09/30/2022
ND,HAI_6_SIR,0.581,10/01/2021,09/30/2022
NE,HAI_1_SIR,0.641,10/01/2021,09/30/2022
NE,HAI_2_SIR,0.923,10/01/2021,09/30/2022
NE,HAI_3_SIR,1.068,10/01/2021,09/30/2022
NE,HAI_4_SIR,1.466,10/01/2021,09/30/2022
NE,HAI_5_SIR,0.686,10/01/2021,09/30/2022
NE,HAI_6_SIR,0.534,10/01/2021,09/30/2022
NH,HAI_1_SIR,0.721,10/01/2021,09/30/2022
NH,HAI_2_SIR,0.848,10/01/2021,09/30/2022
NH,HAI_3_SIR,0.635,10/01/2021,09/30/2022
NH,HAI_4_SIR,1.200,10/01/2021,09/30/2022
NH,HAI_5_SIR,0.550,10/01/2021,09/30/2022
NH,HAI_6_SIR,0.599,10/01/2021,09/30/2022
NJ,HAI_1_SIR,0.816,10/01/2021,09/30/2022
NJ,HAI_2_SIR,0.672,10/01/2021,09/30/2022
NJ,HAI_3_SIR,0.843,10/01/2021,09/30/2022
NJ,HAI_4_SIR,1.004,10/01/2021,09/30/2022
NJ,HAI_5_SIR,1.036,10/01/2021,09/30/2022
NJ,HAI_6_SIR,0.481,10/01/2021,09/30/2022
NM,HAI_1_SIR,1.130,10/01/2021,09/30/2022
NM,HAI_2_SIR,1.203,10/01/2021,09/30/2022
NM,HAI_3_SIR,0.777,10/01/2021,09/30/2022
NM,HAI_4_SIR,1.304,10/01/2021,09/30/2022
NM,HAI_5_SIR,0.878,10/01/2021,09/30/2022
NM,HAI_6_SIR,0.779,10/01/2021,09/30/2022
NV,HAI_1_SIR,0.919,10/01/2021,09/30/2022
NV,HAI_2_SIR,0.634,10/01/2021,09/30/2022
NV,HAI_3_SIR,0.883,10/01/2021,09/30/2022
NV,HAI_4_SIR,0.896,10/01/2021,09/30/2022
NV,HAI_5_SIR,0.958,10/01/2021,09/30/2022
NV,HAI_6_SIR,0.333,10/01/2021,09/30/2022
NY,HAI_1_SIR,0.948,10/01/2021,09/30/2022
NY,HAI_2_SIR,0.754,10/01/2021,09/30/2022
NY,HAI_3_SIR,0.856,10/01/2021,09/30/2022
NY,HAI_4_SIR,0.837,10/01/2021,09/30/2022
NY,HAI_5_SIR,1.020,10/01/2021,09/30/2022
NY,HAI_6_SIR,0.522,10/01/2021,09/30/2022
OH,HAI_1_SIR,0.937,10/01/2021,09/30/2022
OH,HAI_2_SIR,0.655,10/01/2021,09/30/2022
OH,HAI_3_SIR,0.946,10/01/2021,09/30/2022
OH,HAI_4_SIR,0.963,10/01/2021,09/30/2022
OH,HAI_5_SIR,1.060,10/01/2021,09/30/2022
OH,HAI_6_SIR,0.550,10/01/2021,09/30/2022
OK,HAI_1_SIR,1.147,10/01/2021,09/30/2022
OK,HAI_2_SIR,0.629,10/01/2021,09/30/2022
OK,HAI_3_SIR,1.274,10/01/2021,09/30/2022
OK,HAI_4_SIR,0.818,10/01/2021,09/30/2022
OK,HAI_5_SIR,1.152,10/01/2021,09/30/2022
OK,HAI_6_SIR,0.408,10/01/2021,09/30/2022
OR,HAI_1_SIR,0.679,10/01/2021,09/30/2022
